"Sale_YearMonth","Carlow","Cavan","Clare","Cork","Donegal","Dublin","Galway","Kerry","Kildare","Kilkenny","Laois","Leitrim","Limerick","Longford","Louth","Mayo","Meath","Monaghan","Offaly","Roscommon","Sligo","Tipperary","Waterford","Westmeath","Wexford","Wicklow"
"201001",16207249.525,16232244.495,17166130.0616667,29196422.5362963,20393614.0438889,26709907.7282456,22821320.2531818,20705998.5175,NA,17991055.25,17460083.3333333,22073999.83,18651081.159375,14079348.8766667,23881718.58625,17606666.3133333,25076113.3254167,21154124.60875,14999999.3975,18727845.181875,19118639.841,19319613.32625,23414824.7655556,14718263.8933333,18760889.43,27137028.0708333
"201002",17088748.41,16113548.0284615,18795321.7358333,28082937.2991379,19525962.994375,25706698.4225,19795685.4311538,19673333.3333333,26575726.7432812,23574599.901,21141073.7166667,15500470.6483333,18855518.6173333,13624010.3333333,22565942.5635096,16593328.4766667,24364226.49475,21345671.5911111,14981943.64725,18119211.7380804,20061949.5775,22910386.863125,22102445.5783333,19513886.73625,23832382.1558824,31808101.606875
"201003",16449999.92,16583557.7431818,20424513.41,27421776.8052041,18060661.6652381,24717711.7356818,18916347.4988462,21898668.3682353,24074776.695,27248993.9922222,20598093.78375,18000078.5,18146490.5679167,20927599.89,21250166.5407692,17599999.399,23963862.8171739,20514911.2416667,14963887.897,17510578.2942857,17950472.871,19208278.33875,20320036.1555556,18784785.72,14799930.1697368,25916449.9276471
"201004",19295000,16140725.2455,19546688.0335714,26645038.2384615,17896155.5354167,26298111.829381,20175982.5735,19139322.7514286,22717299.966087,23284492.5714286,21041847.5454545,18548964.78375,18383602.5322727,14830742.3333333,22497574.6416667,16493607.1064286,23746173.6663043,20268744.875,17049166.7983333,17445473.0458333,13830985.7175,19096097.8708333,28762146.655625,14711166.3,21679519.7459091,26323490.3811538
"201005",17314737.125,15978935.3297812,17326967.03375,26594295.8688636,16568546.9407143,26102614.2091743,17735138.2244444,19338794.9965,23081921.2421622,20997315.5625,19430632.5,10803335.3841667,21192316.1402941,12499999.025,24619770.5908333,16144626.4675,19388360.6356667,15882062.6045,16511999.6192857,17310665.02875,11656833.63,16886864.825,24692644.2116667,19947050.8791667,19808071.1506667,25035741.8483333
"201006",20316500,15817145.4140625,18751499.433125,24505997.6034211,18680666.5760714,24843404.2807303,22860395.633913,21677249.2489167,23712513.5373529,27785432.3571429,21337716.25,13697580.2766667,20472492.6538462,22807442.22125,22861396.8805263,15338312.2525,19000133.2154762,16261365.5142857,17581869.7791667,17175857.0116667,22453227.6514286,21907486.6283333,23583749.59,15721999.9483333,19179934.154,26183115.949375
"201007",19254014.015,16216770.2202778,20084971.7627273,23116607.9215625,17518327.75,25986731.6217857,22811439.4075,24015703.5013333,21785108.0302505,23537251.76125,19483092.3135,15907057.4285714,20308255.501875,18076227.92,25032565.030625,16455709.963125,21750315.557619,12964333.5783333,19011250,17952481.0138889,18999954.8583333,19782153.35,20700752.888,14741772.31275,18946168.4428947,27113051.4985
"201008",13543582.1525,17243544.5170588,19678364.835625,25339360.5252041,14635117.469375,25559117.1595556,23618778.7166667,20068375.0395,19857702.5231481,26885312.5,20621730.1992857,20403749.72,20535989.024,19167085.5,23804691.5275,17379187.5325,18182482.0259524,17085062.4975,18179984.5125,17955776.6935714,18368392.81,17723731.1591667,15857405.8266667,13814519.5428571,18357890.0576316,23954830.576
"201009",15983736.0828571,17243544.5170588,20510822.4582143,25215377.5601219,16731209.4804545,26110331.3084188,21259864.1408333,21861661.5077778,22469570.88125,20841159.425,16136041.5166667,18993808.8333333,19419757.157,19720625,20161540.3957143,15407059.77,22295383.56625,14009475.25,15780608.3216667,18217805.975625,17667648.1753846,17325890.2025,24091084.375,14351531.4792308,16606178.5905882,28451109.9569231
"201010",14461877.6564286,16957751.7078151,16202880.5695,26835484.1213793,17112779.468913,22869449.9908846,20840459.839375,20127995.4545,23077184.5123437,24100844.8075,14941650.75,17134160.3275,18615787.625,18876724.125,21353182.5854545,17699998.40375,21238255.2197727,17259907.1666667,16920202.045,18526718.5,13889672.4203846,24573912.4291667,21714943.0844444,14423979.319375,21956465.4725,23434432.6472222
