"Sale_YearMonth","Carlow","Cavan","Clare","Cork","Donegal","Dublin","Galway","Kerry","Kildare","Kilkenny","Laois","Leitrim","Limerick","Longford","Louth","Mayo","Meath","Monaghan","Offaly","Roscommon","Sligo","Tipperary","Waterford","Westmeath","Wexford","Wicklow"
"201001",145375,NA,180337.5,219920.411978022,141282.894736842,289391.082318339,222892.606451613,210800,237393.939393939,181000,149333.333333333,106250,138307.331875,120500,192617.647058824,133138.75,208342.857142857,154166.666666667,NA,82125,156341.613,138979.166666667,148116.666666667,179562.5,172435.348064516,267458.333333333
"201002",198723.0325,116681.818181818,180131.578947368,209162.867117117,124630.633684211,291062.458700906,238523.508648649,152346.904411765,210887.878787879,181966.666,116502.638888889,116250,168788.066071429,167000,142791.666666667,142782.799230769,202113.2525,87500,115888.888888889,79769.2307692308,166111.111111111,134618.055555556,163595.238095238,147868.421052632,166120,244930.926296296
"201003",174000,116681.818181818,145399.198235294,204206.465517241,136520.833333333,287408.858229167,211066.365636364,156691.397142857,243732.5625,189773.166666667,145551.736842105,114500,157041.111111111,121583.333333333,178355.837837838,143113.636363636,227031.225806452,107500,131666.666666667,133400,143088.466666667,172071.428571429,161045.454545455,116791.666666667,156943.548387097,284865.384615385
"201004",146464.285714286,110166.666666667,138760.001333333,195071.086793893,127264.325454545,289031.58947619,206694.307833333,181478.90625,220320.217391304,168673.913043478,146863,109500,153710.979333333,103000,173550,157650,204866.79,104240.666666667,115500,107000,167674.242272727,157657.588235294,155759.259259259,154673.913043478,183057.692307692,287471.739130435
"201005",197992.5,131222.222222222,150176.060606061,183658.467153285,131437.329032258,285493.962338902,198282.795454545,173169.312820513,240384.615384615,174055.555555556,152374.761904762,115700,170240.413809524,81000,151048.387096774,153511.151515152,229382.777777778,158444.444444444,146650,101315.789473684,134807.692307692,134416.666666667,145425,157714.285714286,152485.294117647,252720
"201006",180416.666666667,118987.5,172939.130434783,212588.392857143,128812.259736842,287283.558285714,198662.012244898,186136.871428571,242874.429574468,172519.8,133833.333333333,105968.75,165887.357205882,88000,189537.037037037,148208.333333333,238051.923076923,117868.571111111,139889.368421053,129882.352941176,164153.846153846,175111.394736842,135629.62962963,163888.28125,146301.08673913,238033.333333333
"201007",145700,123571.428571429,138825.281538462,202638.251506024,127439.463653846,284293.36346516,201893.442622951,163224.4,220320.172839506,178178.571428571,149352.941176471,91937.5,170432.92557377,174666.666666667,153141.304347826,145692.3425,240720.535714286,99050,146550,135178.571428571,148342.105263158,148957.487179487,144558.290171958,134252.307692308,176392.12362069,252796
"201008",140937.5,116200,147756.392653061,177658.330735294,126375,285018.921122245,217841.705882353,178422.619047619,240137.254901961,151436.363636364,156136.721363636,144285.714285714,182104.255319149,130269.230769231,184280,156440.79,203717.938461538,178833.333333333,157999.333333333,131007.888888889,136666.666666667,130946.5625,153486.950714286,137937.5,157576.595744681,254435.731632653
"201009",176423.076923077,107300,149859.375,184258.705789474,116325.548378378,286929.086200418,196629.434130435,147964.384482759,226539.436619718,144216.0115,109853.850869565,80444.4444444444,174925.882352941,120187.5,174548.780487805,151072.607142857,206695.208035714,129400,126129.75,127503.055555556,135036.290322581,143698.825757576,157158.333333333,144677.62,155651.034423077,267000
"201010",174888.888888889,121592.133333333,154519.230769231,193412.683866667,115806.777804878,269217.825995261,183471.235294118,142283.8,248788.38440678,155062.258064516,129510.416666667,136000,155587.6362,136666.666666667,140288.975806452,141693.272727273,192358.020833333,124821.428571429,145807.608695652,101461.538461538,153409.090909091,115655.209333333,143516.129032258,136019.565217391,154943.509333333,254364.888888889
"201011",195730.769230769,123657.894736842,121746.3875,180838.622695035,113107.986086957,272895.097848747,195216.024230769,152515.377777778,230783.653846154,117747.596296296,98777.75,139647.611818182,170351.820512821,87000,172521.428571429,146977.439393939,170578.097826087,103200,134836.764705882,98925,143056.481481481,122625,163630,160862.5,158755.245614035,254990.909090909
"201012",139140,107147.129186603,161306.275862069,198832.888969072,117372.595238095,276572.369702233,182337.856176471,176096.153846154,236133.928571429,146108.695652174,123769.230769231,115000,160136.766129032,121777.777777778,128018.47826087,152261.606060606,217375,100321.428571429,143055.555555556,107221.047619048,122321.428571429,136548.837209302,153690.476190476,135611.111111111,139346.428571429,253761.217391304
